condition,duration,age,gender,nb_frames_visible,percent_visible
childchild,236.624575,7,female,2214,32.1242019733024
childchild,236.624575,7,male,4819,68.7250427837992
childrobot,264.228515,7,male,1056,13.4728247001786
childrobot,374.76198,7,female,nan,nan
childrobot,451.19205,6,female,nan,nan
childrobot,475.742266,5,female,12601,89.4195288106727
childchild,510.461011,4,female,10701,70.6756489003368
childchild,510.461011,4,female,14999,98.4832567301379
childchild,545.383013,4,female,9693,59.9406344691114
childchild,545.383013,4,male,11604,71.4224164461131
childchild,554.924533,8,male,6845,41.4572103446187
childchild,554.924533,8,male,14339,87.3530307645446
childrobot,559.881586,7,female,11597,69.874073627764
childrobot,575.928924,7,male,6484,37.7437569125095
childchild,582.814135,7,female,11984,69.2676723888793
childchild,582.814135,6,female,4528,26.2477537534056
childrobot,614.022727,7,female,17014,93.3655270811612
childchild,635.707546,7,male,nan,nan
childchild,635.707546,7,male,nan,nan
childrobot,668.20656,6,male,12469,62.5200561572403
childchild,668.856773,7,female,nan,nan
childchild,668.856773,8,female,nan,nan
childchild,691.565042,7,female,14584,70.8477046393005
childchild,691.565042,6,female,8925,43.5429575059765
childrobot,707.56131,7,female,16314,77.1639390786113
childchild,743.981809,7,male,9782,44.1525614985331
childchild,743.981809,7,female,15547,70.4312766150222
childchild,793.565099,6,female,11941,50.4904862579281
childchild,793.565099,5,male,17030,72.3972282446967
childchild,824.59772,8,female,2600,10.624387054593
childchild,824.59772,8,male,4914,20.0114025085519
childchild,833.859855,7,female,nan,nan
childchild,833.859855,7,male,nan,nan
childrobot,842.911679,6,male,18279,72.7812064503285
childchild,843.553417,7,male,14374,57.5213093761255
childchild,843.553417,7,male,14082,56.2694797410693
childrobot,854.759579,8,male,2378,9.32585591591827
childrobot,855.261538,8,male,11037,43.2857479017962
childchild,909.566026,4,female,18311,67.4289291500957
childchild,909.566026,4,female,13018,48.0777043247036
childchild,957.36187,4,male,22022,76.9703960015379
childchild,957.36187,4,male,15739,55.1761612620508
childrobot,963.282626,7,male,13087,45.6581655793183
childchild,985.315048,4,female,15653,53.408625631227
childchild,985.315048,4,male,6991,23.7861930522949
childrobot,1047.95555,7,male,nan,nan
childrobot,1058.67489,7,male,16259,51.8628389154705
childrobot,1079.623933,8,male,5862,18.283326055767
childrobot,1095.200253,8,male,3866,11.823353110282
childrobot,1102.071681,4,male,25895,78.9505777615171
childchild,1120.111207,7,male,23570,70.7807807807808
childchild,1120.111207,7,male,16652,49.8309243798067
childrobot,1172.322502,7,female,25631,74.1616272677295
childchild,1215.262475,4,female,26003,79.2170601675552
childchild,1215.262475,4,male,21709,65.7908294693457
childrobot,1264.563227,7,female,nan,nan
childrobot,1280.472545,8,male,17227,45.037908496732
childchild,1312.749181,7,female,25059,64.0256521628044
childchild,1312.749181,7,female,25757,65.8932180408811
childchild,1341.775469,7,male,22246,55.7376227700942
childchild,1341.775469,7,male,32117,80.3145865112906
childchild,1344.531126,4,female,18535,48.5158622133808
childchild,1344.531126,4,female,21032,54.7694070466915
childchild,1484.588935,6,female,15112,42.861194622497
childchild,1484.588935,6,male,22790,65.0288192661074
childrobot,1525.272875,7,male,nan,nan
childrobot,1525.626057,8,male,24848,54.5726082754986
childchild,1561.998997,7,male,31536,67.8295657410793
childchild,1561.998997,7,male,21327,45.7611844222723
childrobot,1642.002179,6,female,13642,27.7909061277705
childrobot,1695.306743,7,female,25688,50.8009334335324
childrobot,1713.702069,7,male,nan,nan
childchild,1739.277011,7,male,nan,nan
childchild,1739.277011,7,male,nan,nan
childchild,1785.13794,8,female,29993,56.3026787557958
childchild,1785.13794,8,female,27915,52.4846297027469
childchild,1864.366668,7,male,nan,nan
childchild,1864.366668,6,male,nan,nan
childchild,1887.594835,6,male,17898,31.8169697616127
childchild,1887.594835,6,male,24336,43.2309523386567
childchild,1938.936007,7,female,nan,nan
childchild,1938.936007,6,male,nan,nan
childchild,1965.299484,7,female,39229,66.9391167838373
childchild,1965.299484,7,female,37664,64.3972164754561
childchild,1975.436864,6,female,15263,25.9389551680772
childchild,1975.436864,6,male,45536,77.2870769544112
childrobot,1976.399545,7,female,nan,nan
childchild,1989.206614,7,male,27459,47.072840416231
childchild,1989.206614,6,male,31049,53.2636851766078
childchild,2049.962012,7,female,29515,48.2058568932007
childchild,2049.962012,7,female,46568,76.0082915762156
childchild,2200.175301,8,male,35850,54.6135917005621
childchild,2200.175301,8,male,34040,51.9274480191601
childrobot,2333.173272,7,male,nan,nan
childchild,2334.990932,6,male,nan,nan
childchild,2334.990932,6,male,24268,34.8673151247827
childchild,2374.149096,7,female,nan,nan
childchild,2374.149096,7,female,nan,nan
childchild,2399.816059,6,female,55086,76.9723052846324
childchild,2399.816059,6,male,67425,94.3521641174907
childchild,2399.821718,7,female,nan,nan
childchild,2399.821718,7,male,nan,nan
childchild,2399.831701,8,female,nan,nan
childchild,2399.831701,7,female,nan,nan
childchild,2399.853577,7,male,nan,nan
childchild,2399.853577,6,male,nan,nan
childchild,2399.862133,7,male,15974,22.3318887180204
childchild,2399.862133,7,male,21755,30.3832295187285
childchild,2399.865752,7,female,31783,44.3624029925744
childchild,2399.865752,7,male,26721,37.2329900929396
childchild,2399.869424,8,female,36699,51.2706240657176
childchild,2399.869424,8,female,45673,63.7472608762405
childrobot,2399.937985,7,male,nan,nan
childrobot,2399.993374,7,female,nan,nan
